id,latitude,longitude,scientific,university
10446818,25.01575923,121.538747,Urocissa caerulea,NTU
10446819,25.0157884,121.538805,Turdus pallidus,NTU
10448168,25.01631583,121.5399674,Streptopelia tranquebarica,NTU
10448181,25.0157012,121.5389723,Bidens alba,NTU
10465976,25.01526703,121.5350864,Accipiter trivirgatus,NTU
10488117,25.01562251,121.5387587,Treron sieboldii,NTU
10523552,25.01714167,121.5363217,Plantae,NTU
10523557,25.0171805,121.5377283,Christella,NTU
10588092,25.0173405,121.5397518,Mazus pumilus,NTU
10588093,25.0173405,121.5397518,Nycticorax nycticorax,NTU
10588165,25.01583549,121.5380171,Spiranthes sinensis,NTU
10588173,25.02093112,121.53886,Tessaratoma papillosa,NTU
10588213,25.01695538,121.5382555,,NTU
11043086,25.02082013,121.5366546,Urocissa caerulea,NTU
11043495,25.01994119,121.5411394,Dicrurus macrocercus,NTU
11148599,25.01661281,121.5415871,Cuphea carthagenensis,NTU
11149158,25.01702115,121.5339696,Cleome rutidosperma,NTU
11149161,25.01797741,121.5405893,Spiranthes sinensis,NTU
11149162,25.01787496,121.5405732,Scutellaria barbata,NTU
11149164,25.01787671,121.5405571,Scutellaria barbata,NTU
11149166,25.01747809,121.5403426,Terminalia mantaly,NTU
11149167,25.01769271,121.5394306,Pinales,NTU
11149168,25.01839271,121.5405893,Melia azedarach,NTU
11150040,25.01687531,121.5405732,Terminalia catappa,NTU
11150042,25.01687513,121.5405692,Terminalia catappa,NTU
11150045,25.01818782,121.5410507,Podocarpus macrophyllus,NTU
11150046,25.01738711,121.5402675,Terminalia mantaly,NTU
11150047,25.01763713,121.5393341,Taxodium distichum,NTU
11150048,25.01780241,121.541791,Melaleuca linearis linearis,NTU
11150049,25.01853158,121.5410507,Melia azedarach,NTU
11150052,25.01733574,121.5426278,Platycladus orientalis,NTU
11150054,25.01691769,121.5372527,Elaeocarpus serratus,NTU
11150055,25.02023991,121.5371561,Citrus maxima,NTU
11150437,25.01841143,121.5344042,Livistona chinensis,NTU
11150438,25.01635104,121.5387654,Angiospermae,NTU
11150439,25.01660382,121.5388513,Pilea microphylla,NTU
11150440,25.01670104,121.5386796,Pilea microphylla,NTU
11150441,25.01850938,121.5344524,Pinus luchuensis,NTU
